RegionID,zipcode,City,State,Metro,CountyName,SizeRank,PctChangeLast6Mos,PctChangeYOY
91895,77385,Conroe,TX,Houston-The Woodlands-Sugar Land,Montgomery County,4924,0,0
85161,61802,Urbana,IL,Champaign-Urbana,Champaign County,5068,0,0
63773,14845,Horseheads,NY,Elmira,Chemung County,5106,0,0
80533,50702,Waterloo,IA,Waterloo-Cedar Falls,Black Hawk County,5116,0,0
89939,73114,Oklahoma City,OK,Oklahoma City,Oklahoma County,5737,0,0
85347,62223,Belleville,IL,St. Louis,Saint Clair County,5927,0,0
96598,92029,Escondido,CA,San Diego-Carlsbad,San Diego County,6047,0,0
91351,76301,Wichita Falls,TX,Wichita Falls,Wichita County,6090,0,0
90407,74447,Okmulgee,OK,Tulsa,Okmulgee County,6296,0,0
93115,79903,El Paso,TX,El Paso,El Paso County,6498,0,0
85573,62568,Taylorville,IL,Taylorville,Christian County,6569,0,0
75280,39367,Waynesboro,MS,,Wayne County,6581,0,0
62333,12019,Ballston,NY,Albany-Schenectady-Troy,Saratoga County,6711,0,0
64307,15767,Punxsutawney,PA,,Jefferson County,6921,0,0
69898,28372,Pembroke,NC,Lumberton,Robeson County,7103,0,0
88605,70452,Pearl River,LA,New Orleans-Metairie,Saint Tammany Parish,7116,0,0
75317,39475,Purvis,MS,Hattiesburg,Lamar County,7399,0,0
93943,82520,Lander,WY,Riverton,Fremont County,7557,0,0
79227,48462,Ortonville,MI,Detroit-Warren-Dearborn,Oakland County,7641,0,0
74006,36703,Selma,AL,Selma,Dallas County,7705,0,0
65732,19055,Levittown,PA,Philadelphia-Camden-Wilmington,Bucks County,7797,0,0
90311,74128,Tulsa,OK,Tulsa,Tulsa County,7818,0,0
93954,82633,Douglas,WY,,Converse County,8128,0,0
73569,35660,Sheffield,AL,Florence-Muscle Shoals,Colbert County,8156,0,0
93896,82240,Torrington,WY,,Goshen County,8160,0,0
63005,13165,Waterloo,NY,Seneca Falls,Seneca County,8234,0,0
62229,11753,Jericho,NY,New York-Newark-Jersey City,Nassau County,8319,0,0
68015,24148,Ridgeway,VA,Martinsville,Henry County,8860,0,0
64591,16415,Fairview,PA,Erie,Erie County,8921,0,0
69973,28463,Tabor City,NC,,Columbus County,9090,0,0
65018,17316,Reading,PA,Gettysburg,Adams County,9241,0,0
85882,63040,Wildwood,MO,St. Louis,Saint Louis County,9244,0,0
65041,17345,Manchester,PA,York-Hanover,York County,9359,0,0
95373,87417,Kirtland,NM,Farmington,San Juan County,9588,0,0
76239,42127,Cave City,KY,Glasgow,Barren County,9744,0,0
75316,39474,Prentiss,MS,,Jefferson Davis County,9860,0,0
75385,39654,Monticello,MS,,Lawrence County,9966,0,0
70538,29540,Darlington,SC,Florence,Darlington County,10102,0,0
60331,6472,North Branford,CT,New Haven-Milford,New Haven County,10231,0,0
68059,24244,Big Stone Gap,VA,Big Stone Gap,Wise County,10408,0,0
92149,77879,Somerville,TX,College Station-Bryan,Burleson County,10471,0,0
80224,50226,Polk City,IA,Des Moines-West Des Moines,Polk County,10561,0,0
82207,55356,Orono,MN,Minneapolis-St. Paul-Bloomington,Hennepin County,10588,0,0
62818,12883,Ticonderoga,NY,,Essex County,10631,0,0
92428,78384,San Diego,TX,,Duval County,10687,0,0
60224,6250,Mansfield,CT,Hartford-West Hartford-East Hartford,Tolland County,10788,0,0
