,Unnamed: 0,Zipcode,Year,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Zip,City,State,CountyName,Average,PerCapInc1213PctChange,PerCapInc1314PctChange,PerCapInc1415PctChange,PerCapInc1516PctChange
89,74974,2719,2017,16027,46.7,62090,33268,1430,8.922443377,2719.0,Fairhaven,MA,Bristol County,205.25,0.01717557251908386,0.020572068068858806,0.026188479649100094,-0.014865799233138466
95,74975,2720,2017,31126,39.8,47992,26180,5499,17.66690227,2720.0,Fall River,MA,Bristol County,143.5,0.025211457524618952,-0.026066161817457134,0.032288426911114776,-0.0013875123885034313
101,74976,2721,2017,25985,38.3,33383,20156,5729,22.047335,2721.0,Fall River,MA,Bristol County,146.83333333333334,-0.04052242141331874,0.031882407742870544,-0.014896925314741405,0.031415478615071324
107,74977,2723,2017,14236,39.1,37617,24087,2876,20.20230402,2723.0,Fall River,MA,Bristol County,140.08333333333334,0.030681509638881277,0.019336143308746,0.011061146430971114,0.03317826286999637
113,74978,2724,2017,17391,40.4,37932,23497,3580,20.58536024,2724.0,Fall River,MA,Bristol County,146.16666666666666,-0.005336010143702441,-0.03117862644074998,0.0864583333333333,0.047383559570066014
119,74979,2725,2017,2453,52.7,70183,30103,255,10.39543416,2725.0,Somerset,MA,Bristol County,181.8333333333333,-0.06865611452767417,0.0010464025402323607,0.10709007677612381,0.018265286188708707
125,74980,2726,2017,15804,46.4,75154,34028,956,6.049101492999999,2726.0,Somerset,MA,Bristol County,191.66666666666663,-0.014840147790772251,0.01608653875956989,-0.025318772497102016,-0.011548572859288897
131,74981,2738,2017,5065,51.2,76576,51781,274,5.409674235,2738.0,Marion,MA,Plymouth County,229.75,-0.017642463434746736,-0.0402703837062891,0.1021728122266723,0.08603946956249353
137,74982,2739,2017,6245,49.5,85870,53412,288,4.611689351,2739.0,Mattapoisett,MA,Plymouth County,244.8333333333333,-0.06936820300362512,0.052558359533680266,0.1648691514670897,0.04824471826990728
143,74983,2740,2017,43686,37.4,37784,24027,9567,21.89946436,2740.0,New Bedford,MA,Bristol County,135.08333333333334,-0.021096046269081237,0.02547338854181791,0.02082644628099173,0.023177276091783883
149,74984,2743,2017,10443,45.6,69402,32422,422,4.040984391,2743.0,Acushnet,MA,Bristol County,174.5,0.02375296912114022,0.05829069065251247,-0.05051506141694451,0.00015815277558117735
155,74985,2744,2017,11184,34.9,33125,21193,3170,28.34406295,2744.0,New Bedford,MA,Bristol County,164.66666666666666,0.02041961180298446,0.02138537658053874,0.027288874535766228,0.04689301058367379
161,74986,2745,2017,24294,43.0,56277,28763,3305,13.6041821,2745.0,New Bedford,MA,Bristol County,178.08333333333337,-0.0058294597271965065,-0.024297704365155437,0.0210141796614165,0.01477263983996302
167,74987,2746,2017,15637,32.7,32554,17671,5512,35.24972821,2746.0,New Bedford,MA,Bristol County,154.08333333333334,-0.025004585192883733,0.011662904439428079,0.024854344861782618,-0.0032657998185666726
173,74988,2747,2017,23568,35.1,75891,28292,1537,6.52155465,2747.0,Dartmouth,MA,Bristol County,201.0833333333333,-0.04364333508758744,-0.009354978184819784,0.021068920366623,0.032447345923680704
179,74989,2748,2017,11316,51.5,70828,46974,826,7.299399081000002,2748.0,Dartmouth,MA,Bristol County,230.25,-0.00919516209085447,0.05871496743916271,0.007321446359199069,0.08711990111248458
185,74990,2760,2017,27100,39.8,85864,39817,2084,7.690036900000001,2760.0,North Attleboro,MA,Bristol County,211.91666666666663,-0.0014063486596636032,0.010375650274480508,0.02679638163509135,0.07410793439716312
